credit_score,annual_income,loan_amount,loan_term_months,employment_status,property_ownership,debt_to_income_ratio,num_dependents,monthly_income,estimated_monthly_payment,total_dti,loan_eligibility
388,30372,15525,60,Employed,Own,0.3574103473706192,0,2531.0,314.79,0.4818,0
477,128427,13750,84,Employed,Rent,0.2337313863395278,2,10702.25,214.31,0.2538,0
539,134176,11189,12,Employed,Own,0.3807294035668614,1,11181.33,973.31,0.4678,0
698,165684,20769,24,Employed,Rent,0.3946996502201251,4,13807.0,939.33,0.4627,1
789,142945,22160,84,Employed,Mortgage,0.4332665565020215,1,11912.08,345.39,0.4623,1
582,148167,27965,24,Employed,Rent,0.3879493967408818,2,12347.25,1264.78,0.4904,0
710,168025,20251,60,Self-employed,Rent,0.2773905417221337,0,14002.08,410.62,0.3067,1
397,127161,26923,12,Retired,Mortgage,0.3290822172238908,3,10596.75,2341.99,0.5501,0
658,104900,4751,24,Unemployed,Mortgage,0.4973315918527984,3,8741.67,214.87,0.5219,1
321,62804,44319,36,Retired,Own,0.1810449882372332,0,5233.67,1388.8,0.4464,0
301,97608,35517,120,Unemployed,Mortgage,0.5972081206376519,0,8134.0,430.92,0.6502,0
472,87355,21990,84,Unemployed,Mortgage,0.560821306589366,2,7279.58,342.74,0.6079,0
612,75735,35269,84,Employed,Mortgage,0.2909030901304039,5,6311.25,549.71,0.378,0
844,121057,35643,60,Employed,Rent,0.581230094087018,5,10088.08,722.71,0.6529,0
652,99096,33817,36,Employed,Own,0.4054159657236141,4,8258.0,1059.7,0.5337,1
396,92974,43360,24,Employed,Rent,0.5714251147329718,0,7747.83,1961.06,0.8245,0
609,22551,34533,12,Employed,Rent,0.400039784711424,0,1879.25,3003.97,1.9985,0
685,99063,41450,60,Employed,Own,0.4311988071085,0,8255.25,840.46,0.533,1
665,141586,30719,84,Unemployed,Mortgage,0.380566584174011,5,11798.83,478.79,0.4211,1
822,127705,2487,60,Employed,Own,0.009676998866844,1,10642.08,50.43,0.0144,1
698,97169,7620,120,Unemployed,Rent,0.138387653821972,0,8097.42,92.45,0.1498,1
390,52431,2374,36,Employed,Rent,0.1096451216673484,5,4369.25,74.39,0.1267,0
547,91586,41734,84,Employed,Own,0.164726949768602,2,7632.17,650.48,0.25,0
449,61472,25315,36,Employed,Own,0.3425646901992472,2,5122.67,793.28,0.4974,0
599,77607,13024,12,Employed,Mortgage,0.3857052689509002,4,6467.25,1132.94,0.5609,0
790,53942,46686,60,Employed,Rent,0.3509285533458157,5,4495.17,946.62,0.5615,1
511,32061,17981,36,Employed,Mortgage,0.4301637684132935,4,2671.75,563.46,0.6411,0
336,62359,47863,60,Employed,Own,0.0253889176718811,3,5196.58,970.49,0.2121,0
530,41939,39470,120,Employed,Own,0.3991902170117047,2,3494.92,478.88,0.5362,0
450,142230,14173,24,Employed,Mortgage,0.3653630131456717,5,11852.5,641.01,0.4194,0
357,24516,41373,84,Employed,Rent,0.1330433566235412,0,2043.0,644.85,0.4487,0
585,162018,44585,36,Employed,Own,0.4846503071425818,1,13501.5,1397.13,0.5881,0
464,26949,49791,120,Employed,Own,0.3602662110362355,5,2245.75,604.1,0.6293,0
402,61468,36526,84,Unemployed,Mortgage,0.3486081968601465,3,5122.33,569.3,0.4597,0
451,95508,35341,24,Unemployed,Own,0.1912741721368557,4,7959.0,1598.38,0.3921,0
646,46052,35336,84,Employed,Mortgage,0.4239234560290404,1,3837.67,550.75,0.5674,0
458,162191,14187,12,Self-employed,Rent,0.4277288913020829,1,13515.92,1234.1,0.519,0
454,142360,15548,120,Employed,Mortgage,0.0596782564178319,2,11863.33,188.64,0.0756,0
487,44623,48779,12,Employed,Own,0.5826577953056697,5,3718.58,4243.21,1.7237,0
448,54350,40991,120,Unemployed,Own,0.1106639341390923,0,4529.17,497.33,0.2205,0
728,78193,26025,120,Employed,Rent,0.5588625323006938,0,6516.08,315.76,0.6073,0
743,199825,7215,12,Employed,Rent,0.3429723927175737,2,16652.08,627.62,0.3807,1
784,77190,26360,120,Employed,Own,0.4864801492475247,2,6432.5,319.82,0.5362,1
756,95763,40651,84,Employed,Rent,0.3132958894154349,4,7980.25,633.6,0.3927,1
839,26473,15456,60,Employed,Mortgage,0.5165761287529069,2,2206.08,313.39,0.6586,0
361,41515,19864,24,Employed,Mortgage,0.4089472445585363,2,3459.58,898.39,0.6686,0
836,190920,17789,120,Employed,Own,0.4883295232788534,5,15910.0,215.83,0.5019,1
320,144410,12344,84,Employed,Rent,0.5593251205424112,1,12034.17,192.4,0.5753,0
632,176854,27054,60,Self-employed,Mortgage,0.4674004568349341,1,14737.83,548.56,0.5046,0
616,194291,24663,12,Employed,Own,0.2256531997496207,3,16190.92,2145.4,0.3582,0
460,77040,7222,84,Unemployed,Mortgage,0.5623421104154337,3,6420.0,112.56,0.5799,0
456,197547,30705,12,Self-employed,Own,0.5930980834416403,0,16462.25,2670.98,0.7553,0
535,43013,10093,12,Employed,Mortgage,0.4031593133096905,4,3584.42,877.97,0.6481,0
401,26559,33287,12,Unemployed,Mortgage,0.2772417241026489,2,2213.25,2895.58,1.5855,0
758,145675,34261,84,Retired,Rent,0.1687776303977999,3,12139.58,534.0,0.2128,1
831,190294,7137,60,Retired,Own,0.2252716789028738,5,15857.83,144.71,0.2344,1
387,83310,48293,60,Unemployed,Mortgage,0.4906276778388053,5,6942.5,979.21,0.6317,0
837,94261,21191,84,Self-employed,Own,0.4112616723238316,3,7855.08,330.29,0.4533,1
414,159338,49096,84,Employed,Mortgage,0.567285414381215,5,13278.17,765.22,0.6249,0
380,26139,28441,120,Employed,Rent,0.5589216898642659,1,2178.25,345.07,0.7173,0
397,88932,22725,120,Self-employed,Own,0.4640011392319514,1,7411.0,275.72,0.5012,0
803,100323,48221,36,Employed,Mortgage,0.4242143575137358,5,8360.25,1511.07,0.605,0
705,169365,21436,84,Self-employed,Rent,0.1646917001635488,0,14113.75,334.11,0.1884,1
568,88487,42228,120,Employed,Rent,0.0678008290237949,5,7373.92,512.34,0.1373,0
489,69695,35664,60,Employed,Own,0.4549429889862057,0,5807.92,723.14,0.5795,0
586,161715,39743,60,Self-employed,Rent,0.4263531827740097,4,13476.25,805.84,0.4862,0
601,160408,42017,12,Employed,Rent,0.4740293831878975,4,13367.33,3654.99,0.7475,0
772,199053,22454,84,Unemployed,Mortgage,0.5497790694439777,2,16587.75,349.97,0.5709,1
765,109543,24822,120,Employed,Mortgage,0.0288416208474452,5,9128.58,301.16,0.0618,1
456,42549,47086,36,Self-employed,Own,0.0672097343371428,4,3545.75,1475.5,0.4833,0
790,172781,47794,60,Self-employed,Rent,0.0631336578622094,3,14398.42,969.09,0.1304,1
799,62521,14649,84,Unemployed,Mortgage,0.4690125896314991,0,5210.08,228.32,0.5128,1
309,158347,6952,84,Employed,Rent,0.2393769671794102,5,13195.58,108.36,0.2476,0
385,189504,13721,36,Employed,Rent,0.0724781941993332,3,15792.0,429.97,0.0997,0
786,162880,9540,12,Employed,Own,0.3055126025175503,1,13573.33,829.87,0.3667,1
456,188349,31735,12,Employed,Rent,0.0075020239835427,4,15695.75,2760.58,0.1834,0
556,65420,31055,60,Employed,Rent,0.3527782746146794,4,5451.67,629.68,0.4683,0
557,199844,19024,60,Employed,Rent,0.3155272522019364,2,16653.67,385.74,0.3387,0
367,25715,13828,24,Employed,Rent,0.2445342530514629,2,2142.92,625.4,0.5364,0
309,134068,49667,60,Unemployed,Mortgage,0.0792727995281976,4,11172.33,1007.07,0.1694,0
308,166023,38401,24,Employed,Own,0.3081132089435709,3,13835.25,1736.77,0.4336,0
691,68327,30488,12,Self-employed,Rent,0.5692226231945435,5,5693.92,2652.1,1.035,0
503,134990,22752,60,Employed,Mortgage,0.2349911182253117,3,11249.17,461.33,0.276,0
827,151867,26795,24,Retired,Mortgage,0.4742773539155231,2,12655.58,1211.87,0.57,1
740,22583,35110,84,Retired,Mortgage,0.1160163202271058,4,1881.92,547.23,0.4068,0
357,180527,45211,12,Self-employed,Rent,0.5744392313762912,1,15043.92,3932.83,0.8359,0
509,67311,45814,120,Employed,Rent,0.3471234490514887,4,5609.25,555.85,0.4462,0
661,150136,14246,60,Employed,Rent,0.408776040797997,3,12511.33,288.86,0.4319,1
799,195694,34040,12,Employed,Own,0.5098230555577946,3,16307.83,2961.09,0.6914,0
335,152718,48238,120,Employed,Own,0.3223665383863616,5,12726.5,585.26,0.3684,0
581,122526,20113,24,Employed,Mortgage,0.4831889032063046,1,10210.5,909.66,0.5723,0
420,112643,9769,60,Self-employed,Mortgage,0.3634833023574904,3,9386.92,198.08,0.3846,0
518,174595,40333,84,Employed,Mortgage,0.041639055104226,4,14549.58,628.64,0.0848,0
739,155629,35188,120,Employed,Own,0.2901064653486583,3,12969.08,426.93,0.323,1
306,183529,32175,36,Employed,Own,0.4370390484419457,5,15294.08,1008.25,0.503,0
306,102839,8498,12,Employed,Rent,0.3925861065949029,3,8569.92,739.23,0.4788,0
785,143230,29877,24,Self-employed,Own,0.1851807190664989,0,11935.83,1351.26,0.2984,1
363,184615,1825,12,Employed,Rent,0.1988275871312958,2,15384.58,158.75,0.2091,0
683,103948,22997,84,Self-employed,Own,0.2888211681450596,2,8662.33,358.44,0.3302,1
444,128475,17652,24,Employed,Own,0.2293731178250192,0,10706.25,798.35,0.3039,0
643,90693,39944,36,Employed,Own,0.1358998543914145,1,7557.75,1251.7,0.3015,0
563,170877,47470,84,Employed,Rent,0.1181815132137091,3,14239.75,739.88,0.1701,0
671,34446,39668,36,Employed,Rent,0.0835484701341083,3,2870.5,1243.05,0.5166,0
656,183791,28487,84,Employed,Rent,0.0307592595914779,1,15315.92,444.0,0.0597,1
328,183408,13992,36,Employed,Own,0.5791731325291605,3,15284.0,438.46,0.6079,0
683,107227,1836,60,Employed,Own,0.0429871089897318,0,8935.58,37.23,0.0472,1
837,139286,18753,60,Self-employed,Mortgage,0.3256979131980466,2,11607.17,380.24,0.3585,1
589,60549,24821,120,Employed,Own,0.23955951401407,2,5045.75,301.15,0.2992,0
447,126325,12256,12,Retired,Mortgage,0.537700315520313,2,10527.08,1066.13,0.639,0
630,65521,32855,12,Employed,Rent,0.3158086464901792,2,5460.08,2858.0,0.8392,0
719,191048,31250,60,Unemployed,Own,0.1491355010206324,0,15920.67,633.64,0.1889,1
566,98881,17067,60,Employed,Own,0.4549457951372728,3,8240.08,346.06,0.4969,0
755,38860,33272,12,Employed,Rent,0.0298283296018712,4,3238.33,2894.28,0.9236,0
766,47448,33036,12,Employed,Mortgage,0.3501796098509286,3,3954.0,2873.75,1.077,0
719,188510,9550,120,Employed,Own,0.1844813397385906,3,15709.17,115.87,0.1919,1
533,50935,31766,60,Self-employed,Rent,0.225418422618715,0,4244.58,644.1,0.3772,0
765,155531,7505,60,Unemployed,Rent,0.5983792668275089,5,12960.92,152.17,0.6101,0
805,146720,49256,36,Self-employed,Rent,0.2576304260039129,5,12226.67,1543.5,0.3839,1
357,144140,35710,60,Unemployed,Own,0.3125847694568475,5,12011.67,724.07,0.3729,0
478,62013,20326,60,Employed,Mortgage,0.2642409202496008,2,5167.75,412.14,0.344,0
507,90188,35261,120,Employed,Mortgage,0.5376911371171658,5,7515.67,427.81,0.5946,0
483,143972,29320,60,Employed,Mortgage,0.3486512532168187,0,11997.67,594.5,0.3982,0
633,27121,42911,24,Self-employed,Rent,0.5547285701928351,2,2260.08,1940.75,1.4134,0
406,30054,49637,120,Retired,Mortgage,0.1869889615229265,4,2504.5,602.23,0.4274,0
558,183557,10694,60,Self-employed,Mortgage,0.0168013662985666,2,15296.42,216.84,0.031,0
352,50302,20457,36,Unemployed,Own,0.4993918879206809,5,4191.83,641.05,0.6523,0
729,137165,2329,60,Unemployed,Mortgage,0.1277366207991345,4,11430.42,47.22,0.1319,1
318,65007,33185,84,Employed,Rent,0.0353036049064876,1,5417.25,517.23,0.1308,0
573,123319,14120,12,Self-employed,Mortgage,0.2147879880737087,1,10276.58,1228.28,0.3343,0
377,120791,21186,12,Unemployed,Rent,0.1462446920007195,3,10065.92,1842.94,0.3293,0
322,23361,14436,60,Retired,Rent,0.4934710604161045,3,1946.75,292.71,0.6438,0
752,80400,2362,24,Self-employed,Own,0.1536160223213494,2,6700.0,106.83,0.1696,1
456,58503,29219,24,Employed,Mortgage,0.4464780054236044,0,4875.25,1321.5,0.7175,0
778,80008,32086,120,Employed,Rent,0.4280568975898574,5,6667.33,389.29,0.4864,1
825,134102,32791,84,Employed,Rent,0.3245692926273083,3,11175.17,511.09,0.3703,1
730,107658,29478,60,Self-employed,Own,0.2807342981573043,1,8971.5,597.71,0.3474,1
438,45746,29577,60,Retired,Own,0.0643837834753411,1,3812.17,599.71,0.2217,0
316,82031,38852,24,Employed,Rent,0.1970582897981691,2,6835.92,1757.17,0.4541,0
688,72261,13766,36,Retired,Own,0.4249703569887841,4,6021.75,431.38,0.4966,1
502,59438,22762,24,Employed,Rent,0.3065792156107708,2,4953.17,1029.46,0.5144,0
686,157374,9895,60,Self-employed,Rent,0.1409768105576427,3,13114.5,200.63,0.1563,1
388,105904,38542,36,Employed,Own,0.1239901104522574,0,8825.33,1207.77,0.2608,0
373,98682,45931,12,Employed,Mortgage,0.2900413474530705,1,8223.5,3995.47,0.7759,0
642,199232,5290,120,Employed,Mortgage,0.335239438924962,1,16602.67,64.18,0.3391,0
680,179327,7584,12,Self-employed,Mortgage,0.5832012354247331,4,14943.92,659.72,0.6273,0
392,136919,14507,60,Employed,Own,0.288137247908393,2,11409.92,294.15,0.3139,0
491,41570,36255,36,Employed,Mortgage,0.5876934409164638,3,3464.17,1136.1,0.9157,0
784,85340,41745,84,Self-employed,Rent,0.2158268848282194,1,7111.67,650.65,0.3073,1
627,69451,1717,24,Employed,Rent,0.5424813574416264,0,5787.58,77.66,0.5559,0
768,50816,35699,84,Employed,Rent,0.3014297442870217,5,4234.67,556.41,0.4328,1
718,185803,44161,24,Employed,Rent,0.4429124239659145,1,15483.58,1997.28,0.5719,1
451,20051,44103,60,Employed,Rent,0.4822073697037055,5,1670.92,894.25,1.0174,0
707,160254,37712,12,Employed,Mortgage,0.3475223996791988,2,13354.5,3280.51,0.5932,1
693,142197,2508,24,Self-employed,Mortgage,0.5186218080484589,0,11849.75,113.43,0.5282,1
475,192499,37618,36,Employed,Own,0.2694128521830199,5,16041.58,1178.81,0.3429,0
484,170238,19749,120,Employed,Rent,0.5664699496732682,1,14186.5,239.61,0.5834,0
501,159454,4650,24,Employed,Mortgage,0.113737763998201,1,13287.83,210.31,0.1296,0
498,199528,12190,60,Employed,Rent,0.1758272661180729,3,16627.33,247.17,0.1907,0
788,63146,4037,120,Employed,Mortgage,0.3166777926219501,0,5262.17,48.98,0.326,1
747,20603,47906,24,Retired,Mortgage,0.2682825183587948,1,1716.92,2166.66,1.5302,0
362,67735,9977,12,Employed,Rent,0.4388174607600788,0,5644.58,867.88,0.5926,0
560,53950,39595,60,Unemployed,Own,0.3028976258519524,4,4495.83,802.84,0.4815,0
658,144496,28631,24,Employed,Own,0.5488618960107438,4,12041.33,1294.9,0.6564,0
395,28060,45055,60,Self-employed,Mortgage,0.5274801129608072,0,2338.33,913.55,0.9182,0
456,59367,20755,60,Employed,Rent,0.1958836364012184,1,4947.25,420.84,0.2809,0
442,93160,13052,36,Employed,Rent,0.3276149475553123,5,7763.33,409.0,0.3803,0
653,155068,26092,36,Self-employed,Mortgage,0.0786725851562434,5,12922.33,817.63,0.1419,1
767,182902,34861,120,Self-employed,Mortgage,0.4830340736465599,0,15241.83,422.96,0.5108,1
533,149957,28579,24,Self-employed,Rent,0.3711297025347916,0,12496.42,1292.55,0.4746,0
500,107836,13347,60,Employed,Rent,0.4243927421616177,4,8986.33,270.63,0.4545,0
303,184712,10089,60,Self-employed,Rent,0.3479653909797461,5,15392.67,204.57,0.3613,0
410,79470,8388,84,Unemployed,Own,0.3181027541175413,2,6622.5,130.74,0.3378,0
518,181957,5377,36,Employed,Own,0.5899266851038707,5,15163.08,168.5,0.601,0
759,165019,36773,36,Self-employed,Rent,0.4524712201695485,4,13751.58,1152.33,0.5363,1
423,64735,5691,60,Employed,Rent,0.0629389263815202,5,5394.58,115.39,0.0843,0
482,125319,34510,12,Unemployed,Rent,0.5601329337290548,0,10443.25,3001.97,0.8476,0
581,111715,39722,84,Self-employed,Rent,0.1149307365366958,5,9309.58,619.12,0.1814,0
834,118605,36473,60,Self-employed,Rent,0.4066737376165607,3,9883.75,739.54,0.4815,1
647,134627,39454,24,Employed,Own,0.3948994205229504,5,11218.92,1784.4,0.554,0
777,66409,48742,84,Employed,Rent,0.5748730727214877,0,5534.08,759.7,0.7121,0
775,66172,45730,12,Unemployed,Mortgage,0.401471908184163,2,5514.33,3977.98,1.1229,0
643,154674,13551,60,Unemployed,Mortgage,0.2441678053351746,1,12889.5,274.77,0.2655,0
745,59749,3251,24,Employed,Rent,0.3866453122627715,2,4979.08,147.03,0.4162,1
449,186774,42375,12,Employed,Rent,0.2572395862107059,0,15564.5,3686.13,0.4941,0
647,187222,28443,36,Employed,Rent,0.1040180077462313,2,15601.83,891.3,0.1611,0
400,135375,22503,120,Unemployed,Rent,0.5269500291824897,5,11281.25,273.02,0.5512,0
472,191512,15522,60,Employed,Rent,0.4997352407004831,3,15959.33,314.73,0.5195,0
644,96447,16233,24,Retired,Rent,0.0970360820673058,1,8037.25,734.17,0.1884,0
526,96532,27449,120,Employed,Own,0.0898007727615453,5,8044.33,333.03,0.1312,0
624,26769,6900,60,Employed,Own,0.4253329645978496,2,2230.75,139.91,0.4881,0
790,91361,40780,120,Self-employed,Mortgage,0.3042530783684918,0,7613.42,494.77,0.3692,1
815,57292,12171,12,Employed,Mortgage,0.3120459865980098,4,4774.33,1058.74,0.5338,1
472,134957,28433,120,Employed,Own,0.5718666630502747,4,11246.42,344.97,0.6025,0
770,149724,36854,60,Self-employed,Mortgage,0.4315094823059165,1,12477.0,747.27,0.4914,1
768,185102,6040,84,Retired,Mortgage,0.0470365279687349,4,15425.17,94.14,0.0531,1
767,133431,27654,84,Employed,Rent,0.594965176074697,5,11119.25,431.02,0.6337,0
435,89701,41898,12,Retired,Rent,0.1215124873652988,0,7475.08,3644.64,0.6091,0
646,164023,37889,84,Unemployed,Own,0.1571883936996415,0,13668.58,590.55,0.2004,0
651,179285,37199,120,Self-employed,Mortgage,0.4074043344296319,5,14940.42,451.33,0.4376,1
534,140993,33199,60,Unemployed,Rent,0.4505115710513481,1,11749.42,673.16,0.5078,0
444,197796,1079,84,Employed,Mortgage,0.0209323276484883,1,16483.0,16.82,0.022,0
661,199936,44484,60,Self-employed,Mortgage,0.2770428091060343,3,16661.33,901.98,0.3312,1
654,118988,28739,12,Employed,Own,0.2725672103041738,5,9915.67,2499.96,0.5247,1
535,184639,8036,36,Self-employed,Mortgage,0.1635087891226607,5,15386.58,251.82,0.1799,0
383,65078,20071,120,Employed,Rent,0.4259108947840801,3,5423.17,243.52,0.4708,0
661,24779,30953,36,Unemployed,Rent,0.1670733411948417,2,2064.92,969.95,0.6368,0
667,40565,21314,60,Self-employed,Rent,0.5859610663949278,1,3380.42,432.17,0.7138,0
829,162009,36350,120,Employed,Mortgage,0.2723179877210911,5,13500.75,441.03,0.305,1
421,177658,14899,24,Unemployed,Mortgage,0.2549454305597639,3,14804.83,673.84,0.3005,0
502,29757,36191,60,Unemployed,Mortgage,0.2145184064051576,1,2479.75,733.82,0.5104,0
474,185547,14141,36,Unemployed,Mortgage,0.3029841718934618,3,15462.25,443.13,0.3316,0
782,103758,41935,12,Self-employed,Own,0.1745682855344667,0,8646.5,3647.86,0.5965,1
840,39254,45305,120,Employed,Own,0.043972188077451,4,3271.17,549.67,0.212,0
769,73983,15094,120,Self-employed,Own,0.0037228478894052,4,6165.25,183.13,0.0334,1
308,72666,44409,60,Retired,Mortgage,0.1466765076601486,2,6055.5,900.45,0.2954,0
750,146953,3520,12,Retired,Own,0.3428877118411474,1,12246.08,306.2,0.3679,1
747,96408,11325,36,Self-employed,Own,0.216905435642826,3,8034.0,354.88,0.2611,1
606,64084,43057,12,Employed,Own,0.4779031861229484,2,5340.33,3745.46,1.1793,0
662,194454,13405,36,Employed,Own,0.4725799203047692,5,16204.5,420.06,0.4985,1
322,156971,5842,60,Employed,Rent,0.3892373594198502,1,13080.92,118.45,0.3983,0
513,178154,26245,36,Self-employed,Rent,0.4621464198871338,3,14846.17,822.42,0.5175,0
701,60093,22585,120,Employed,Rent,0.4273762322899851,2,5007.75,274.02,0.4821,1
696,197550,39814,36,Employed,Own,0.4187316666251477,3,16462.5,1247.63,0.4945,1
773,196125,38128,84,Retired,Rent,0.2063464054807065,3,16343.75,594.27,0.2427,1
613,134945,17140,12,Retired,Mortgage,0.1768759910759713,1,11245.42,1490.98,0.3095,0
516,134043,27333,36,Employed,Own,0.405056852938901,0,11170.25,856.52,0.4817,0
724,82565,46235,36,Retired,Own,0.2382709205199749,4,6880.42,1448.84,0.4488,1
400,47591,33282,120,Retired,Rent,0.0100733003299159,1,3965.92,403.8,0.1119,0
332,193634,18576,36,Employed,Mortgage,0.5543515839434018,5,16136.17,582.1,0.5904,0
740,99399,30193,84,Employed,Rent,0.2106291737930344,0,8283.25,470.59,0.2674,1
482,142692,31869,24,Employed,Mortgage,0.5213194615936342,2,11891.0,1441.35,0.6425,0
811,150225,17500,24,Self-employed,Rent,0.3850466942325908,5,12518.75,791.48,0.4483,1
608,192838,25472,60,Self-employed,Rent,0.464228016436344,2,16069.83,516.48,0.4964,0
794,113338,5978,60,Employed,Own,0.1003830519166805,4,9444.83,121.21,0.1132,1
661,157302,38327,36,Employed,Own,0.4437717386417742,5,13108.5,1201.03,0.5354,1
425,145444,49841,84,Employed,Rent,0.1935855766290783,2,12120.33,776.83,0.2577,0
581,91486,33823,60,Employed,Rent,0.1074316748959017,5,7623.83,685.81,0.1974,0
548,131716,4422,24,Employed,Mortgage,0.0513342148550752,1,10976.33,200.0,0.0696,0
339,25813,45742,24,Employed,Mortgage,0.2414748404210118,5,2151.08,2068.79,1.2032,0
488,138652,44078,120,Employed,Rent,0.0715421792638314,1,11554.33,534.79,0.1178,0
565,139139,43288,24,Employed,Own,0.5038353294072452,0,11594.92,1957.8,0.6727,0
326,139647,41594,120,Retired,Rent,0.0411354751053941,4,11637.25,504.65,0.0845,0
669,53647,10800,120,Employed,Own,0.5448803422730937,3,4470.58,131.03,0.5742,1
524,144821,28711,36,Employed,Own,0.1049195941379073,0,12068.42,899.7,0.1795,0
334,131983,34533,60,Self-employed,Rent,0.0455080251274658,2,10998.58,700.2,0.1092,0
682,65470,37236,12,Employed,Own,0.5192824437833402,1,5455.83,3239.1,1.113,0
414,93973,19573,120,Employed,Mortgage,0.2564842477399351,3,7831.08,237.47,0.2868,0
308,174450,29891,120,Employed,Mortgage,0.1472222692130785,3,14537.5,362.66,0.1722,0
477,70356,17684,60,Employed,Own,0.5669633306493722,4,5863.0,358.57,0.6281,0
586,141420,3696,12,Self-employed,Own,0.1077263875943567,3,11785.0,321.51,0.135,0
799,41786,24703,12,Employed,Rent,0.5973729345578453,4,3482.17,2148.88,1.2145,0
752,146765,22161,120,Unemployed,Rent,0.3431798282772182,5,12230.42,268.87,0.3652,1
757,137927,12054,60,Employed,Mortgage,0.5234188618774919,2,11493.92,244.41,0.5447,1
356,27145,13610,120,Employed,Rent,0.589865882622984,2,2262.08,165.13,0.6629,0
724,148760,40828,12,Employed,Rent,0.0974418342373482,1,12396.67,3551.56,0.3839,1
714,160413,14165,36,Employed,Mortgage,0.0811221214512004,3,13367.75,443.88,0.1143,1
547,24172,26386,84,Self-employed,Rent,0.2515279039307734,5,2014.33,411.26,0.4557,0
648,42843,5436,12,Employed,Mortgage,0.2022359844876416,0,3570.25,472.87,0.3347,0
632,144801,30034,24,Self-employed,Mortgage,0.5177622844282981,2,12066.75,1358.36,0.6303,0
603,91895,44966,84,Employed,Rent,0.1038742488796318,0,7657.92,700.85,0.1954,0
729,114447,18326,36,Employed,Rent,0.3455461548740323,5,9537.25,574.27,0.4058,1
631,56430,28700,36,Employed,Mortgage,0.2288498867320045,4,4702.5,899.35,0.4201,0
496,167176,26580,36,Employed,Mortgage,0.5496147317539497,1,13931.33,832.92,0.6094,0
455,115672,35475,84,Self-employed,Rent,0.0044159009300723,1,9639.33,552.92,0.0618,0
817,140463,9948,120,Employed,Own,0.3956040523588485,4,11705.25,120.7,0.4059,1
469,163912,14836,36,Employed,Own,0.3866353961467093,2,13659.33,464.91,0.4207,0
496,61531,14389,84,Unemployed,Mortgage,0.2518855745995514,4,5127.58,224.27,0.2956,0
